section,entity,year,stage,metric,value,unit,status,source_path,notes
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,MB1_missing,UNKNOWN,values,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,MB2_missing,UNKNOWN,values,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,five_minute_timestamp_complete_bins,0,bins,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,five_minute_all_channel_complete_bins,0,bins,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,five_minute_partial_bins,0,bins,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,five_minute_empty_bins,105120,bins,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,,structurally_full_calendar,false,boolean,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2021.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,file_exists,true,boolean,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,file_size_bytes,3011901400,bytes,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,physical_lines,31536001,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,expected_seconds,31536000,seconds,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,parseable_target_year_unique_seconds,31536000,seconds,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,first_parseable_utc,2022-01-01 00:00:00,UTC,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,last_parseable_utc,2022-12-31 23:59:59,UTC,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,first_target_year_utc,2022-01-01 00:00:00,UTC,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,last_target_year_utc,2022-12-31 23:59:59,UTC,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,main_interval_seconds,1,seconds,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,missing_timestamps,0,seconds,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,duplicate_timestamps,0,records,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,inverse_timestamps,0,records,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,column_count_anomalies,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,quote_anomalies,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,glued_records,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,truncated_records,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,duplicate_headers,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,data_error_lines,0,lines,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,MB0_missing,3992,values,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,MB1_missing,3236,values,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,MB2_missing,3320,values,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,five_minute_timestamp_complete_bins,105120,bins,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,five_minute_all_channel_complete_bins,99211,bins,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,five_minute_partial_bins,5909,bins,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,five_minute_empty_bins,0,bins,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,,structurally_full_calendar,true,boolean,PASS,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\GFNODE_experiments\asoc_multirate_redownload_validation\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,file_exists,true,boolean,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,file_size_bytes,1774300504,bytes,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,physical_lines,18657728,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,expected_seconds,31536000,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,parseable_target_year_unique_seconds,167952,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,first_parseable_utc,2023-01-01 00:00:01,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,last_parseable_utc,2025-05-15 23:59:58,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,first_target_year_utc,2023-01-01 00:00:01,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,last_target_year_utc,2023-01-02 22:39:12,UTC,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,main_interval_seconds,1,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,missing_timestamps,31368048,seconds,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,duplicate_timestamps,0,records,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,inverse_timestamps,0,records,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,column_count_anomalies,209,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,,quote_anomalies,0,lines,FAIL,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\高分辨率气象数据集\fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,UTC is authoritative; exported Local is not used; structural bins are left-closed calendar bins.
