path,workspace,filename,file_type,size_bytes,rows,columns,column_names,has_original_timestamp,timestamp_parse_status,timestamp_start,timestamp_end,timestamp_interval_distribution,duplicate_timestamps,missing_timestamps,per_column_missing_ratio,suspected_normalized,contains_original_power_units,contains_missing_mask,contains_isolation_forest,is_sliding_window_array,maps_to_original_timestamps,source_references,in_git_master,lineage_level,notes
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py33_np18.pkl_02.npy,PVforecast16,joblib_0.9.2_pickle_py33_np18.pkl_02.npy,npy,120,5,"{""joblib_0.9.2_pickle_py33_np18.pkl_02"": [5]}","[""joblib_0.9.2_pickle_py33_np18.pkl_02""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py33_np18.pkl_02"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py33_np18.pkl_03.npy,PVforecast16,joblib_0.9.2_pickle_py33_np18.pkl_03.npy,npy,307,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Inspection failed: ValueError: Array can't be memory-mapped: Python objects in dtype.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py33_np18.pkl_04.npy,PVforecast16,joblib_0.9.2_pickle_py33_np18.pkl_04.npy,npy,104,1,"{""joblib_0.9.2_pickle_py33_np18.pkl_04"": [1, 3]}","[""joblib_0.9.2_pickle_py33_np18.pkl_04""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py33_np18.pkl_04"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py34_np19.pkl,PVforecast16,joblib_0.9.2_pickle_py34_np19.pkl,pkl,691,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py34_np19.pkl_01.npy,PVforecast16,joblib_0.9.2_pickle_py34_np19.pkl_01.npy,npy,120,5,"{""joblib_0.9.2_pickle_py34_np19.pkl_01"": [5]}","[""joblib_0.9.2_pickle_py34_np19.pkl_01""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py34_np19.pkl_01"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py34_np19.pkl_02.npy,PVforecast16,joblib_0.9.2_pickle_py34_np19.pkl_02.npy,npy,120,5,"{""joblib_0.9.2_pickle_py34_np19.pkl_02"": [5]}","[""joblib_0.9.2_pickle_py34_np19.pkl_02""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py34_np19.pkl_02"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py34_np19.pkl_03.npy,PVforecast16,joblib_0.9.2_pickle_py34_np19.pkl_03.npy,npy,307,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Inspection failed: ValueError: Array can't be memory-mapped: Python objects in dtype.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py34_np19.pkl_04.npy,PVforecast16,joblib_0.9.2_pickle_py34_np19.pkl_04.npy,npy,104,1,"{""joblib_0.9.2_pickle_py34_np19.pkl_04"": [1, 3]}","[""joblib_0.9.2_pickle_py34_np19.pkl_04""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py34_np19.pkl_04"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py35_np19.pkl,PVforecast16,joblib_0.9.2_pickle_py35_np19.pkl,pkl,691,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py35_np19.pkl_01.npy,PVforecast16,joblib_0.9.2_pickle_py35_np19.pkl_01.npy,npy,120,5,"{""joblib_0.9.2_pickle_py35_np19.pkl_01"": [5]}","[""joblib_0.9.2_pickle_py35_np19.pkl_01""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py35_np19.pkl_01"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py35_np19.pkl_02.npy,PVforecast16,joblib_0.9.2_pickle_py35_np19.pkl_02.npy,npy,120,5,"{""joblib_0.9.2_pickle_py35_np19.pkl_02"": [5]}","[""joblib_0.9.2_pickle_py35_np19.pkl_02""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py35_np19.pkl_02"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py35_np19.pkl_03.npy,PVforecast16,joblib_0.9.2_pickle_py35_np19.pkl_03.npy,npy,307,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],NO,UNKNOWN,Inspection failed: ValueError: Array can't be memory-mapped: Python objects in dtype.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\joblib\test\data\joblib_0.9.2_pickle_py35_np19.pkl_04.npy,PVforecast16,joblib_0.9.2_pickle_py35_np19.pkl_04.npy,npy,104,1,"{""joblib_0.9.2_pickle_py35_np19.pkl_04"": [1, 3]}","[""joblib_0.9.2_pickle_py35_np19.pkl_04""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""joblib_0.9.2_pickle_py35_np19.pkl_04"": 0.0}",UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,Array metadata and contents inspected directly; no timestamp was synthesized.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\numpy\_core\tests\data\astype_copy.pkl,PVforecast16,astype_copy.pkl,pkl,716,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"[""C:\\Users\\Zhujiangkun-Yohkoh\\Desktop\\光伏项目_最新\\PVforecast16\\.venv\\Lib\\site-packages\\numpy\\_core\\tests\\test_regression.py""]",NO,UNKNOWN,Pickle was not deserialized during the read-only security-conscious audit.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccos.csv,PVforecast16,umath-validation-set-arccos.csv,csv,62794,1428,4,"[""dtype"", ""input"", ""output"", ""ulperrortol""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""dtype"": 0.0, ""input"": 0.0, ""output"": 0.0, ""ulperrortol"": 0.0}",NO,NO,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,No content-supported lineage level could be assigned.
C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccosh.csv,PVforecast16,umath-validation-set-arccosh.csv,csv,62794,1428,4,"[""dtype"", ""input"", ""output"", ""ulperrortol""]",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"{""dtype"": 0.0, ""input"": 0.0, ""output"": 0.0, ""ulperrortol"": 0.0}",NO,NO,NO,NO,NO,UNKNOWN,[],NO,UNKNOWN,No content-supported lineage level could be assigned.
